subject,lambda_theta,Pi_kPa,Pi_mmHg
1,1.0,1.5821545414909994,11.867139996998219
1,1.0009045226130653,1.6199505723065606,12.150633661654034
1,1.0018090452261306,1.6578015424485903,12.434539405320745
1,1.002713567839196,1.6957098281905798,12.718875051522826
1,1.0036180904522614,1.7336778409134117,13.003658687111953
1,1.0045226130653266,1.7717080283514037,13.288908671613106
1,1.005427135678392,1.8098028758675477,13.574643646789646
1,1.0063316582914572,1.8479649077590157,13.860882546435427
1,1.0072361809045227,1.8861966885940253,14.147644606402118
1,1.008140703517588,1.9245008245811046,14.434949374869523
1,1.0090452261306533,1.9628799649719555,14.722816722867949
1,1.0099497487437186,2.0013368034989814,15.011266855060528
1,1.0108542713567839,2.0398740798487545,15.300320320795164
1,1.0117587939698491,2.078494581172648,15.589998025435186
1,1.0126633165829146,2.1172011436358895,15.880321241978224
1,1.01356783919598,2.1559966540063376,16.171311622973015
1,1.0144723618090452,2.194884051284453,16.462991212745195
1,1.0153768844221105,2.2338663283757296,16.755382459941565
1,1.0162814070351758,2.272946533807095,17.048508230404174
1,1.0171859296482413,2.312127773488836,17.34239182038583
1,1.0180904522613066,2.351413212523486,17.637056970117907
1,1.0189949748743719,2.390806077063421,17.932527877743436
1,1.0198994974874371,2.4303096562186646,18.228829213626838
1,1.0208040201005024,2.469927304016734,18.525986135053998
1,1.021708542713568,2.509662441416242,18.82402430133549
1,1.0226130653266332,2.54951855837603,19.122969889326416
1,1.0235175879396985,2.589499215981913,19.422849609378254
1,1.0244221105527638,2.6296080486327273,19.723690721735608
1,1.025326633165829,2.6698487662879202,20.0255210533945
1,1.0262311557788946,2.710225156778645,20.32836901543704
1,1.0271356783919598,2.750741088184552,20.632263620858815
1,1.0280402010050251,2.791400511278625,20.93723450290668
1,1.0289447236180904,2.8322074620421414,21.243311933942525
1,1.0298492462311557,2.8731660642523953,21.5505268448528
1,1.030753768844221,2.9142805321455167,21.858910845021306
1,1.0316582914572865,2.9555551731569953,22.16849624288482
1,1.0325628140703518,2.9969943907425387,22.4793160670913
1,1.033467336683417,3.038602687282111,22.791404088281944
1,1.0343718592964823,3.080384667069858,23.104794841517517
1,1.0352763819095476,3.1223450393929486,23.419523649371538
1,1.0361809045226131,3.164488621702398,23.735626645713438
1,1.0370854271356784,3.2068203428789572,24.053140800204762
1,1.0379899497487437,3.2493452465974686,24.372103943533904
1,1.038894472361809,3.2920684947929346,24.69255479341378
1,1.0397989949748743,3.334995371231927,25.014532981369616
1,1.0407035175879398,3.3781312851929193,25.338079080343714
1,1.041608040201005,3.4214817752592923,25.66323463314535
1,1.0425125628140703,3.4650525132291,25.990042181776452
1,1.0434170854271356,3.508849308145337,26.318545297661075
1,1.044321608040201,3.552878110451204,26.648788612812506
1,1.0452261306532664,3.5971450162745744,26.980817851969398
1,1.0461306532663317,3.641656271846164,27.314679865734774
1,1.047035175879397,3.686418278056231,27.650422664754128
1,1.0479396984924623,3.7314375951544707,27.988095454967524
1,1.0488442211055276,3.776720947598261,28.327748673974465
1,1.049748743718593,3.8222752290544793,28.669434028550608
1,1.0506532663316583,3.868107507560189,29.013204533356106
1,1.0515577889447236,3.9142250308480406,29.35911455087943
