alfa,R2_relajado,R2_real,R2_csv,brecha
2.0,0.956588245303,0.9484223496771278,,0.008165895625872222
2.05,0.9601487391412066,0.9530245348072609,0.9530245468223044,0.007124204333945672
2.1,0.963296376569608,0.9570863230549695,0.9570863389999638,0.006210053514638436
2.15,0.9660800587456289,0.9606715665389671,0.960671586076642,0.00540849220666173
2.2,0.9685421712062963,0.9638358150074071,0.9638358378526865,0.00470635619888915
2.25,0.97071954203711,0.9666275074687799,0.9666275333815644,0.004092034568330072
2.3,0.9726442452387936,0.9690889742920249,0.9690890030709918,0.0035552709467686627
2.35,0.9743442766506007,0.9712572830042264,0.97125731448149,0.0030869936463743253
2.4,0.9758441245305077,0.97316495465464,0.9731649886911437,0.002679169875867693
2.45,0.9771652527257418,0.9748405725703069,0.9748406090518368,0.002324680155434966
2.5,0.9783265110487586,0.9763093013089643,0.9763093401426992,0.0020172097397942457
2.55,0.9793444848186073,0.9775933303963099,0.977593371507826,0.0017511544222973408
2.6,0.9802337933934601,0.9787122548456425,0.978712298176312,0.001521538547817558
2.65,0.9810073457972053,0.9796834023663044,0.9796834478710336,0.0013239434309009201
2.7,0.9816765601463716,0.98052211547055,0.9805221631158098,0.0011544446758215976
2.75,0.982251552446945,0.9811374553875768,0.9811375134202202,0.0011140970593681576
2.8,0.9827412994019364,0.9813599824581161,0.9813600558363904,0.0013813169438203765
2.85,0.9831537791090078,0.9809975131630365,0.9809975987161198,0.002156265945971292
2.9,0.9834960929007508,0.9801614646759715,0.9801615585869464,0.003334628224779257
2.95,0.9837745710627267,0.9789453939289974,0.9789454931749664,0.004829177133729323
3.0,0.9839948647356674,0.9774157004431235,0.9774158089413888,0.006579164292543904
3.05,0.9841620259519613,0.9745387847683269,0.9745389362787688,0.009623241183634446
3.1,0.9842805774595657,0.9708396642796306,0.9708398245645204,0.01344091317993501
3.15,0.9843545737382181,0.9667538074423345,0.9667539723450528,0.017600766295883585
3.2,0.9843876544046688,0.9618289581250415,0.961829149663855,0.022558696279627255
