alfa,a1,a2,a3,a4,a5,R2,n_restricciones_activas
2.02,3.1149355860131873,3.470987982972452e-29,1.1044052673094165e-28,2.7588958593476987,1.0027799380219766,0.9503325535113316,2
2.03,3.156881386181937,1.270066057405829e-28,2.7767903863779616e-28,2.860620668326078,1.0710515783507926,0.9512524043058406,2
2.04,3.199381565943106,6.784203784900702e-29,1.530390156128763e-28,2.964960736625355,1.141326005117603,0.9521495452510681,2
2.05,3.2424431845932014,4.733165431326071e-29,9.308558681607939e-29,3.0719734987238763,1.213657503176023,0.9530245468223043,2
2.06,3.2860733850407757,5e-324,1.5777218104420236e-30,3.181717552809851,1.2881017510334019,0.953877963503389,2
2.07,3.330279394649621,5e-324,3.1554436208840472e-30,3.294252683251575,1.3647158549870682,0.9547103342901495,2
2.08,3.37506852608686,1.735493991486226e-29,2.603240987229339e-29,3.4096398834878516,1.443558384065047,0.9555221831759646,2
2.09,3.420448178175789,5e-324,3.944304526105059e-31,3.5279413793460503,1.5246894057898983,0.9563140196201673,2
2.1,3.466425836753451,1.8932661725304283e-29,3.0371144851008955e-29,3.6492206527958375,1.6081705227842478,0.9570863389999638,2
2.11,3.513009075532796,1.1832913578315177e-30,3.944304526105059e-31,3.7735424661463175,1.6940649102374103,0.9578396230465217,2
2.12,3.560205556969399,2.566298847974588e-23,3.921853505299424e-23,3.9009728866948414,1.782437354252637,0.9585743402658449,2
2.13,3.6080230331325804,3.944304526105059e-31,5e-324,4.0315793118355705,1.873354291095169,0.959290946345033,2
2.14,3.6564693465808893,4.338734978715565e-30,5.127595883936577e-30,4.16543049463633,1.9668838473615284,0.9599898845444924,2
2.15,3.7055524312417876,1.7552155141167513e-29,2.800456213534592e-29,4.3025965698920805,2.063095881091193,0.960671586076642,2
2.16,3.7552803132954833,2.3074181477714595e-29,3.7076462545387555e-29,4.443149080663937,2.1620620238419543,0.9613364704716373,2
2.17,3.805661112062747,5e-324,3.549874073494553e-30,4.587161005312288,2.2638557237510297,0.9619849459306073,2
2.18,3.856703040896645,4.0554309673930903e-23,6.812109187220261e-23,4.73470678503331,2.3685522896042976,0.9626174096668857,2
2.19,3.908414408078007,3.6287601640166543e-29,7.178634237511207e-29,4.885862351907734,2.476228935936545,0.9632342482356897,2
2.2,3.9608036177145656,4.6542793408039697e-29,1.1517369216226772e-28,5.040705157471468,2.5869648291863223,0.9638358378526865,2
2.21,4.013879170643564,2.68212707775144e-28,6.216223933141573e-28,5.1993142018172795,2.700841134929093,0.9644225447018661,2
2.22,4.0676496653377585,2.524354896707238e-28,7.825500179792437e-28,5.361770063237436,2.8179410662135433,0.9649947252331217,2
2.23,4.122123798814601,5.174927538249837e-28,2.2845411815200502e-27,5.528154928416994,2.938349933025602,0.9655527264499237,2
2.24,4.177310367548528,8.582806648804608e-28,5.957477556229081e-27,5.698552623187731,3.062155192906368,0.9660968861874553,2
2.25,4.2332182683861035,3.887506540929146e-27,3.07971297398283e-26,5.873048643852977,3.1894465027493886,0.9666275333815644,2
2.26,4.289856499463953,2.877764582246251e-26,2.163877017457444e-25,6.051730189093654,3.3203157718047343,0.9671449883288711,2
2.27,4.347234161129234,1.7882530088274072e-25,1.4940142020672116e-24,6.234686192466077,3.4548572159167006,0.9676495629383551,2
2.28,4.405360456862491,1.6796047740731277e-24,1.6505645953414077e-23,6.42200735550221,3.593167413023201,0.9681415609747368,2
2.29,4.464244694202757,2.7182253527743536e-24,2.8272774843121063e-23,6.613786181423427,3.73534535994568,0.9686212782939494,2
2.3,4.523896285674615,3.2346073904447862e-24,3.4382925383503e-23,6.810117009478707,3.8814925304981616,0.9690890030709918,2
2.31,4.58432474971712,3.885083160228307e-24,4.302470096269469e-23,7.01109604991878,4.0317129349459515,0.9695450160204361,2
2.32,4.645539711614292,5.154934647467916e-24,5.832915788205959e-23,7.216821419617545,4.186113180843816,0.9699895906098548,2
2.33,4.707550904427035,7.083541788552246e-24,8.330613497203969e-23,7.4273931783526725,4.3448025352854325,0.970422993266423,2
2.34,4.770368169926184,1.0382570715961e-23,1.2762492122898237e-22,7.642913365757134,4.507892988595428,0.9708454835769377,2
2.35,4.8340014595265455,1.6363474285631525e-23,2.1141573234118985e-22,7.863486038953972,4.67549931949697,0.9712573144814901,2
2.36,4.898460835221584,2.810960054259791e-23,3.8211866890828536e-22,8.089217310886527,4.847739161787834,0.9716587324610154,2
2.37,4.963756470518607,5.2083298022430676e-23,7.498392252793196e-22,8.32021538935683,5.024733072559436,0.972049977718936,2
2.38,5.0298986513741095,1.0451879404004995e-22,1.5986816301235797e-21,8.55659061678481,5.206604601992966,0.9724312843571061,2
2.39,5.096897777129089,2.2479279380982084e-22,3.6729145642827234e-21,8.798455510701494,5.39348036476884,0.9728028805462586,2
2.4,5.16476436144398,5.145289592278577e-22,9.0176128453234e-21,9.045924804989353,5.585490113125103,0.9731649886911435,2
2.41,5.233509033233,1.2437112874132261e-21,2.342627193538459e-20,9.299115491883333,5.782766811602725,0.9735178255905452,2
2.42,5.30314253759754,3.1310660266207413e-21,6.349862312020974e-20,9.558146864746288,5.985446713514572,0.9738616025923538,2
2.43,5.373675736758372,7.999069167935058e-21,1.7459580362613492e-19,9.82314056163285,6.193669439178255,0.9741965257438623,2
2.44,5.445119610986273,2.0693835878180516e-20,4.858563201067497e-19,10.09422060965579,6.4075780559510855,0.9745227959374542,2
2.45,5.517485259530849,5.369128543444548e-20,1.3544271893555526e-18,10.371513470169642,6.6273191601087795,0.9748406090518368,2
2.46,5.590783901547095,1.0279771552866266e-19,2.757296143333742e-18,10.655148084785914,6.853042960608394,0.9751501560889753,2
2.47,5.665026877019484,1.4623772578234432e-19,4.13571074327272e-18,10.94525592223539,7.084903364778547,0.9754516233068712,2
2.48,5.7402256476830935,2.0632283300848914e-19,6.156973305750652e-18,11.241971026092223,7.323058065979524,0.9757451923483269,2
2.49,5.816391797941527,2.8856583409824505e-19,9.09352569167923e-18,11.545430063375854,7.567668633278068,0.9760310403658319,2
2.5,5.893537035781129,3.9985150838625575e-19,1.331439840132704e-17,11.855772374046154,7.818900603181242,0.9763093401426993,2
2.51,5.971673193681215,5.482673041190288e-19,1.9299243693411532e-17,12.173140021408217,8.076923573476467,0.9765802602105802,2
2.52,6.050812229519817,7.42492103681047e-19,2.7634830407253323e-17,12.497677843442888,8.341911299223927,0.9768439649634757,2
2.53,6.130966227474573,1.2711137632955757e-32,5e-324,12.829533505079775,8.614041790950273,0.9771006147683615,2
2.54,6.212147398918352,7.51112678311022e-33,5e-324,13.168857551429895,8.893497415092538,0.9773503660725402,2
2.55,6.294368083309087,1.0592614694129797e-32,5e-324,13.515803461994802,9.180464996742536,0.9775933715078259,2
